,amount,term,month,age,bad,gender_female,gender_male,education_Bachelor,education_High School or Below,education_Master or Above,education_college
0,1000,30,June,45,0,0,1,0,1,0,0
1,1000,30,July,50,0,1,0,1,0,0,0
2,1000,30,August,33,0,1,0,1,0,0,0
3,1000,15,September,27,0,0,1,0,0,0,1
4,1000,30,October,28,0,1,0,0,0,0,1
5,300,7,July,35,0,0,1,0,0,1,0
6,1000,30,September,29,0,0,1,0,0,0,1
7,1000,30,May,36,0,0,1,0,0,0,1
8,1000,30,May,28,0,0,1,0,0,0,1
9,800,15,April,26,0,0,1,0,0,0,1
10,300,7,April,29,0,0,1,0,0,0,1
11,1000,15,September,39,0,0,1,0,1,0,0
12,1000,30,December,26,0,0,1,0,0,0,1
13,900,7,May,26,0,1,0,0,0,0,1
14,1000,7,May,27,0,0,1,0,1,0,0
15,800,15,July,26,0,0,1,0,0,0,1
16,1000,30,July,40,0,0,1,0,1,0,0
17,1000,15,January,32,0,0,1,0,1,0,0
18,1000,30,August,32,0,0,1,0,1,0,0
19,800,30,April,26,0,0,1,0,0,0,1
20,1000,30,July,26,0,0,1,0,0,0,1
21,1000,30,May,43,0,1,0,0,1,0,0
22,1000,30,October,25,0,0,1,0,1,0,0
23,1000,15,August,26,0,0,1,0,0,0,1
24,1000,30,March,26,0,0,1,0,0,0,1
25,1000,30,August,29,0,0,1,0,1,0,0
26,800,15,April,39,0,0,1,1,0,0,0
27,1000,15,June,34,0,0,1,1,0,0,0
28,1000,30,June,31,0,0,1,0,0,0,1
29,1000,30,November,33,0,0,1,0,0,0,1
30,800,15,February,33,0,0,1,0,1,0,0
31,1000,30,March,37,0,0,1,0,0,0,1
32,1000,30,May,27,0,0,1,0,0,0,1
33,1000,30,October,37,0,0,1,0,0,0,1
34,800,15,January,33,0,0,1,0,0,0,1
35,800,15,January,29,0,0,1,1,0,0,0
36,1000,30,July,27,0,0,1,0,1,0,0
37,700,15,September,33,0,0,1,0,1,0,0
38,1000,15,May,24,0,0,1,0,0,0,1
39,1000,30,February,21,0,0,1,1,0,0,0
40,1000,15,September,32,0,1,0,0,0,0,1
41,800,15,February,30,0,0,1,0,0,0,1
42,1000,7,January,31,0,0,1,1,0,0,0
43,1000,15,October,30,0,0,1,0,0,0,1
44,1000,15,July,24,0,1,0,1,0,0,0
45,800,7,July,35,0,0,1,0,1,0,0
46,1000,30,July,22,0,0,1,0,1,0,0
47,1000,30,July,32,0,0,1,0,0,0,1
48,1000,30,September,32,0,0,1,1,0,0,0
49,800,15,February,50,0,0,1,0,1,0,0
50,800,15,December,27,0,1,0,0,0,0,1
51,1000,30,July,35,0,1,0,1,0,0,0
52,800,15,November,35,0,1,0,1,0,0,0
53,1000,30,January,34,0,0,1,0,1,0,0
54,1000,30,October,21,0,0,1,0,1,0,0
55,1000,15,July,25,0,0,1,0,0,0,1
56,1000,30,May,27,0,0,1,0,1,0,0
57,1000,30,May,26,0,0,1,1,0,0,0
58,800,15,December,44,0,1,0,0,1,0,0
59,800,15,January,39,0,0,1,0,0,1,0
60,1000,30,December,34,0,0,1,1,0,0,0
61,1000,15,September,37,0,0,1,0,0,0,1
62,1000,30,January,34,0,0,1,0,1,0,0
63,1000,30,April,45,0,0,1,0,0,0,1
64,800,15,March,24,0,0,1,0,1,0,0
65,900,15,February,28,0,0,1,0,0,0,1
66,1000,30,July,28,0,0,1,1,0,0,0
67,1000,30,September,37,0,0,1,0,1,0,0
68,300,7,December,35,0,0,1,0,0,0,1
69,1000,30,November,43,0,0,1,1,0,0,0
70,800,15,April,29,0,0,1,0,0,0,1
71,800,15,July,29,0,0,1,0,1,0,0
72,1000,30,August,33,0,1,0,1,0,0,0
73,1000,15,April,34,0,0,1,0,0,0,1
74,1000,15,July,25,0,0,1,0,0,0,1
75,1000,30,April,30,0,0,1,0,1,0,0
76,1000,30,February,31,0,0,1,1,0,0,0
77,1000,30,December,35,0,0,1,0,0,0,1
78,1000,30,November,37,0,1,0,0,0,0,1
79,1000,30,June,44,0,1,0,0,1,0,0
80,1000,30,July,28,0,0,1,0,1,0,0
81,1000,7,September,25,0,0,1,0,0,0,1
82,1000,15,November,29,0,0,1,0,0,0,1
83,800,15,November,33,0,0,1,0,0,0,1
84,1000,30,April,37,0,1,0,0,1,0,0
85,1000,30,February,33,0,0,1,0,0,0,1
86,1000,30,November,24,0,1,0,0,1,0,0
87,1000,30,May,27,0,1,0,0,0,0,1
88,800,15,May,43,0,0,1,1,0,0,0
89,800,15,August,46,0,1,0,0,1,0,0
90,800,15,December,34,0,1,0,0,0,0,1
91,1000,7,August,32,0,1,0,1,0,0,0
92,800,15,March,38,0,0,1,0,1,0,0
93,800,15,December,27,0,0,1,0,1,0,0
94,1000,30,December,33,0,0,1,0,1,0,0
95,1000,30,July,36,0,0,1,0,0,0,1
96,1000,15,November,26,0,0,1,0,1,0,0
97,1000,30,February,34,0,0,1,0,0,0,1
98,1000,30,January,22,0,0,1,0,1,0,0
99,1000,30,June,31,0,1,0,1,0,0,0
100,1000,7,June,29,0,0,1,0,1,0,0
